Food name,Mfg Date,Ingredient 1,Ingredient 2,Ingredient 3,Exp date,Preservatives
pulao,24-08-2024,lettuce,paprika,pistachios,22-04-2025,4.23
pav bhaji,01-05-2024,basil,paprika,green gram,17-07-2025,4.43
kachori,04-04-2024,olive oil,figs,ghee,17-10-2025,4.26
dosa,10-12-2024,coriander,saffron,yogurt,27-03-2025,0.32
momo,30-05-2024,flour,coconut oil,garam masala,25-07-2025,4.93
paratha,31-07-2024,paprika,tomato,black salt,29-02-2025,1.19
momo,20-04-2024,paprika,chickpeas,ginger,16-04-2025,0.91
paneer tikka,13-03-2024,rice,pomegranate,nutmeg,15-03-2025,3.47
kachori,27-11-2024,nutmeg,garlic,amchur,17-02-2025,1.75
chicken curry,25-05-2024,curry powder,mint leaves,black pepper,10-04-2025,4.16
chaat,13-03-2024,maple syrup,pomegranate,cinnamon,01-06-2025,4.98
butter chicken,01-11-2024,ketchup,fennel seeds,sesame oil,02-08-2025,0.49
chicken curry,26-07-2024,maple syrup,saffron,tomato,16-09-2024,2.76
gulab jamun,19-04-2024,soy sauce,fennel seeds,cream,20-02-2025,1.33
chicken curry,16-08-2024,lemon juice,mint leaves,coconut oil,14-08-2024,2.23
upma,22-11-2024,salt,mango,mustard seeds,31-07-2025,1.42
upma,21-12-2024,ketchup,black pepper,beans,25-04-2025,4.2
tandoori chicken,26-11-2024,cinnamon,cardamom,lentils,24-09-2025,3.38
dosa,13-10-2024,tomatoes,jaggery,gram flour,10-06-2025,1.28
lassi,23-06-2024,lime juice,tomato,turmeric,11-12-2024,2.73
jalebi,22-12-2024,milk,asafoetida,bay leaves,16-03-2025,0.83
palak paneer,29-08-2024,milk,poppy seeds,coconut,15-07-2025,3.13
gulab jamun,27-05-2024,cheese,curry powder,coconut oil,20-02-2025,3.77
papad,22-04-2024,nutmeg,green chili,chickpeas,13-10-2024,3.27
jalebi,22-09-2024,potatoes,lentils,red chili powder,22-02-2025,0.19
poha,28-07-2024,brown sugar,turmeric powder,almonds,05-06-2025,0.07
chaat,20-10-2024,paprika,coconut,sugar,12-12-2024,0.18
poha,17-09-2024,turmeric,almonds,amchur,08-11-2025,1.67
kheer,30-04-2024,ketchup,guava,beans,03-04-2025,0.72
vada,24-09-2024,lemon juice,onion,black pepper,02-12-2025,4.8
dal makhani,06-05-2024,potatoes,banana,red chili powder,02-10-2025,3.8
dosa,10-04-2024,rice,mustard seeds,sesame oil,21-06-2025,4.37
papad,16-10-2024,onions,tomato,garlic,16-08-2025,4.36
kheer,24-12-2024,lettuce,coconut,amchur,20-01-2025,1.5
gulab jamun,21-11-2024,cinnamon,cardamom,poppy seeds,02-04-2025,4.13
kheema,20-02-2024,chili powder,almonds,gram flour,09-03-2025,3.06
naan,10-12-2024,turmeric,sesame seeds,fennel seeds,30-10-2025,2.97
naan,09-02-2024,chili powder,garlic,coconut,02-09-2024,4.56
momo,15-07-2024,spinach,mango,beans,18-03-2025,0.44
naan,27-07-2024,vinegar,bay leaf,jaggery,14-11-2024,4.33
rasgulla,06-02-2024,honey,banana,beans,02-01-2025,3.45
roti,05-10-2024,parsley,almonds,poppy seeds,11-11-2025,2.48
chaat,03-11-2024,cinnamon,banana,onion,08-02-2025,0.78
korma,13-11-2024,nutmeg,red chili powder,cloves,05-10-2025,3.43
chaat,08-10-2024,lettuce,cinnamon,dates,03-10-2025,0.35
rasgulla,16-03-2024,maple syrup,saffron,red chili powder,13-08-2025,0.18
poha,23-05-2024,ketchup,lentils,mint,16-09-2025,4.31
naan,26-06-2024,ginger,cinnamon,coriander,07-12-2025,4.98
poha,19-07-2024,basil,poppy seeds,jaggery,29-11-2025,0.25
kheema,04-04-2024,milk,apricots,garam masala,07-02-2024,4.22
biryani,12-12-2024,maple syrup,cinnamon,chickpeas,05-12-2025,2.23
dosa,02-06-2024,paprika,basmati rice,curry leaves,25-05-2025,1.84
palak paneer,07-10-2024,honey,pomegranate,cashews,17-03-2025,3.58
thali,26-05-2024,mustard,paprika,olive oil,28-03-2025,3.79
butter chicken,15-12-2024,broccoli,green chili,yogurt,22-05-2025,2.11
thali,01-09-2024,cayenne pepper,pineapple,garlic,09-09-2024,2.5
chaat,19-01-2024,nutmeg,fennel seeds,coriander,14-08-2025,3.12
rabri,27-12-2024,ginger,apricots,curry leaves,30-08-2025,1.58
uttapam,10-10-2024,honey,yogurt,honey,15-05-2025,0.08
rabri,11-10-2024,maple syrup,tomato,cashews,26-12-2025,3.55
idli,27-02-2024,ginger,cashew nuts,cloves,22-03-2025,2.8
gulab jamun,16-01-2024,pasta,guava,nutmeg,06-05-2025,3.27
uttapam,01-07-2024,eggs,poppy seeds,turmeric,25-05-2025,3.5
paratha,03-12-2024,vanilla extract,curry powder,bay leaves,23-01-2025,1.27
puri,11-09-2024,eggs,turmeric powder,cashews,13-02-2025,4.71
rasgulla,21-12-2024,tomatoes,fennel seeds,cumin,13-09-2025,0.18
roti,27-02-2024,butter,raisins,nutmeg,11-09-2025,4.26
paneer tikka,23-09-2024,carrots,asafoetida,garam flour,13-07-2025,4.96
roti,29-06-2024,olive oil,black pepper,almonds,02-12-2025,2.45
kachori,29-11-2024,milk,ghee,tomato,29-08-2025,1.36
jalebi,11-02-2024,brown sugar,guava,rice flour,05-01-2025,2.07
biryani,30-05-2024,milk,fenugreek seeds,black salt,14-09-2025,0.25
palak paneer,27-02-2024,vanilla extract,cashew nuts,tamarind,12-03-2025,4.43
vada,17-12-2024,turmeric,coriander powder,jaggery,14-03-2025,2.85
poha,19-05-2024,flour,mint leaves,cinnamon,21-08-2024,2.86
vada,16-05-2024,oregano,curry powder,fenugreek,20-08-2025,0.13
chicken curry,27-02-2024,flour,turmeric powder,black pepper,24-04-2025,2.72
kathi roll,25-06-2024,flour,onion,cashews,06-04-2025,4.38
roti,09-09-2024,beef,onion,tomato,31-07-2024,0.35
pav bhaji,17-02-2024,salt,apricots,amchur,02-01-2025,1.55
palak paneer,31-05-2024,lime juice,tomato,black salt,17-01-2025,3.8
vada,23-03-2024,oregano,paprika,black gram,10-10-2025,1.48
chaat,27-10-2024,cinnamon,paprika,raisins,29-06-2025,4.13
pav bhaji,19-04-2024,coriander,cloves,coriander,11-11-2025,0.89
papad,27-11-2024,cayenne pepper,coriander powder,gram flour,31-05-2025,4.82
chicken curry,18-03-2024,brown sugar,almonds,cashews,07-02-2025,4.37
chicken curry,10-11-2024,coriander,green chili,almonds,28-02-2025,0.36
kheema,27-03-2024,lettuce,coconut,mustard oil,15-07-2025,0.33
chicken curry,01-08-2024,flour,green chili,cardamom,01-03-2025,4.74
kathi roll,26-04-2024,beef,poppy seeds,cilantro,12-07-2025,4.33
paratha,19-05-2024,lemon juice,raisins,rice flour,26-10-2025,3.12
butter chicken,03-08-2024,turmeric,curry powder,cilantro,29-06-2025,3.26
paratha,13-07-2024,chicken,garlic,red chili powder,12-05-2025,3.49
kachori,07-02-2024,cumin,turmeric powder,raisins,08-09-2025,4.8
thali,29-07-2024,salt,apricots,sesame oil,27-06-2025,1.25
pav bhaji,15-02-2024,potatoes,curry powder,olive oil,08-04-2024,4.62
butter chicken,01-08-2024,lemon juice,coriander powder,black salt,04-10-2025,2.09
lassi,25-04-2024,carrots,cinnamon,curry leaves,05-02-2025,2.21
chaat,02-07-2024,cheese,ginger,mint,23-07-2025,4.57
pav bhaji,11-07-2024,carrots,curry powder,coconut oil,10-04-2025,0.18
paneer tikka,04-11-2024,olive oil,chickpeas,amchur,15-03-2024,0.43
puri,02-01-2024,pasta,black pepper,ghee,02-07-2024,4.91
idli,15-12-2024,curry powder,cumin seeds,beans,26-05-2025,0.31
thali,30-07-2024,potatoes,fenugreek seeds,black gram,17-01-2025,3.73
poha,07-07-2024,vanilla extract,cinnamon,coconut,11-04-2024,3.6
papad,06-10-2024,lemon juice,cardamom,jaggery,02-04-2025,4.99
lassi,10-03-2024,tomatoes,curry leaves,yogurt,27-03-2025,2.66
kulfi,26-06-2024,paprika,cashew nuts,garam flour,04-02-2025,2.66
chaat,11-02-2024,brown sugar,figs,jaggery,12-06-2025,1.17
kulfi,10-09-2024,coriander,pistachios,olive oil,23-11-2025,0.62
tandoori chicken,03-04-2024,flour,tamarind,coconut oil,07-02-2025,4.45
rabri,26-04-2024,pepper,banana,sugar,10-05-2025,2.08
vada,18-05-2024,cheese,turmeric powder,saffron,10-10-2025,0.63
uttapam,25-10-2024,salt,bay leaf,mustard oil,18-09-2024,2.26
jalebi,03-08-2024,cumin,figs,onion,05-10-2025,0.8
momo,24-02-2024,vinegar,chickpeas,poppy seeds,26-11-2025,2.55
momo,05-01-2024,onions,pineapple,red chili powder,25-10-2025,3.3
momo,21-10-2024,rice,coconut,tamarind,19-09-2025,1.82
pav bhaji,11-06-2024,rosemary,fenugreek seeds,pistachios,15-01-2025,2.69
thali,07-12-2024,mustard,banana,turmeric,19-01-2025,2.31
paratha,11-06-2024,ketchup,cardamom,almonds,13-10-2025,3.74
kachori,29-04-2024,chicken,apricots,nutmeg,11-07-2025,1.77
uttapam,15-03-2024,mayonnaise,pistachios,saffron,02-04-2025,2.77
lassi,29-10-2024,rosemary,coconut milk,cashews,06-09-2025,1.14
kachori,27-12-2024,cinnamon,coconut milk,red chili powder,12-05-2025,3.06
roti,01-06-2024,potatoes,coconut oil,onion,20-05-2025,2.53
thali,30-03-2024,spinach,cashews,onion,17-01-2025,2.04
dal makhani,27-01-2024,basil,coconut,green chili,30-03-2025,4.11
pakora,25-06-2024,broccoli,sesame seeds,fennel seeds,16-09-2025,1.49
naan,21-09-2024,flour,mango,cinnamon,22-11-2025,0.32
naan,25-01-2024,chicken,basmati rice,cream,17-09-2025,4.77
rasgulla,20-10-2024,milk,coconut milk,coriander,30-09-2025,4.08
uttapam,26-12-2024,oregano,pistachios,rice flour,28-11-2025,0.4
momo,10-02-2024,pasta,mango,cinnamon,15-12-2025,0.76
bhaji,02-06-2024,broccoli,pistachios,yogurt,17-08-2025,3.22
kachori,14-07-2024,eggs,coconut milk,cinnamon,26-04-2025,0.79
biryani,18-10-2024,lettuce,coconut milk,mint,25-08-2025,0.39
idli,20-09-2024,cumin,cumin seeds,dates,20-01-2025,3.85
chicken curry,19-11-2024,coriander,garlic,nutmeg,02-09-2024,3.93
paratha,30-07-2024,basil,red chili powder,onion,21-04-2025,3.58
thali,27-06-2024,eggs,garlic,beans,30-12-2025,1.43
dal makhani,12-11-2024,honey,almonds,cumin,01-04-2025,4.34
paneer tikka,11-03-2024,cumin,chickpeas,turmeric,09-07-2025,3.75
bhaji,20-07-2024,turmeric,coconut milk,sesame oil,07-09-2025,2.36
kachori,03-05-2024,spinach,bay leaf,yogurt,22-10-2025,3.46
kheer,26-03-2024,parsley,pineapple,ginger,14-03-2025,0.61
thali,02-07-2024,cayenne pepper,pomegranate,ghee,26-01-2025,0.16
paratha,22-02-2024,chicken,guava,garlic,13-12-2025,1.74
tandoori chicken,17-03-2024,nutmeg,ghee,paneer,29-10-2025,1.3
kathi roll,13-08-2024,coriander,fenugreek seeds,garlic,17-12-2025,4.22
gulab jamun,03-11-2024,oregano,coconut milk,garam flour,15-10-2025,1.28
poha,07-02-2024,butter,basmati rice,green chili,29-07-2025,3.51
momo,18-04-2024,cumin,asafoetida,dates,24-05-2024,0.19
papad,21-12-2024,thyme,bay leaf,green gram,18-09-2024,0.9
biriyani,21-10-2024,soy sauce,fenugreek seeds,cumin,26-12-2025,1.9
chicken curry,06-04-2024,salt,coriander powder,yogurt,30-06-2024,2.8
thali,21-06-2024,vinegar,cashew nuts,paneer,28-03-2025,1.35
palak paneer,29-09-2024,onions,sesame seeds,black gram,14-01-2025,1.6
paneer tikka,25-03-2024,lettuce,fenugreek seeds,beans,03-06-2025,0.64
kheema,24-01-2024,chicken,yogurt,black salt,29-04-2024,4.59
chaat,26-10-2024,soy sauce,curry leaves,cilantro,05-03-2025,0.54
idli,13-06-2024,mustard,bay leaf,cilantro,03-10-2025,0.15
idli,30-12-2024,curry powder,black pepper,lentils,18-05-2024,0.38
rasgulla,17-01-2024,basil,apricots,dates,13-04-2025,2.85
idli,21-06-2024,rosemary,fenugreek seeds,green chili,02-09-2025,3.01
rabri,27-01-2024,lemon juice,curry powder,cinnamon,18-11-2024,4.8
naan,31-07-2024,brown sugar,coconut oil,black gram,07-04-2025,2.62
paratha,28-12-2024,brown sugar,fennel seeds,nutmeg,21-01-2025,3.54
naan,19-02-2024,pepper,onion,coriander,15-12-2024,4.11
gulab jamun,20-02-2024,paprika,coconut oil,cashews,02-11-2025,0.94
kachori,03-03-2024,brown sugar,pomegranate,cream,23-06-2025,0.21
vada,25-08-2024,butter,coconut oil,almonds,30-03-2024,3.14
pav bhaji,08-02-2024,lettuce,turmeric powder,garam flour,24-04-2025,2.05
lassi,13-12-2024,chili powder,coconut,milk,14-04-2025,1.67
naan,07-02-2024,vanilla extract,cashew nuts,raisins,13-03-2025,2.76
dal makhani,28-11-2024,ketchup,cilantro,mint,11-04-2025,4.53
kathi roll,30-04-2024,lettuce,apricots,cashews,12-04-2025,3.12
palak paneer,30-07-2024,spinach,fennel seeds,ghee,05-10-2025,1.48
paneer tikka,28-06-2024,turmeric,coriander powder,ghee,10-05-2025,4.3
kulfi,26-10-2024,carrots,poppy seeds,yogurt,11-07-2025,2.34
kathi roll,06-07-2024,brown sugar,fenugreek seeds,semolina,30-09-2025,3.62
kheer,29-06-2024,milk,pineapple,mustard seeds,20-01-2025,0.85
thali,19-08-2024,ginger,pistachios,garam flour,03-08-2025,2.98
pav bhaji,16-08-2024,cinnamon,sesame seeds,clarified butter,22-08-2025,2.74
tandoori chicken,15-03-2024,milk,yogurt,paneer,30-10-2025,3.92
chicken curry,31-05-2024,ginger,mustard seeds,coconut,20-05-2025,2.72
thali,05-12-2024,sugar,coconut,fennel seeds,16-08-2025,2.92
pav bhaji,14-07-2024,beef,asafoetida,paneer,04-07-2025,4.88
butter chicken,26-09-2024,honey,tomato,garam masala,04-10-2025,2.46
poha,24-05-2024,oregano,cilantro,black gram,27-04-2025,0.31
gulab jamun,14-03-2024,flour,paprika,bay leaves,23-07-2025,4.99
puri,01-02-2024,curry powder,ghee,cardamom,25-11-2025,1.5
pulao,21-04-2024,eggs,mustard seeds,mustard oil,13-08-2025,1.66
momo,28-08-2024,milk,lentils,cilantro,04-05-2025,3.55
rabri,17-12-2024,vinegar,curry leaves,onion,29-01-2025,1.34
gulab jamun,25-08-2024,rosemary,black pepper,turmeric,26-04-2025,3.07
kheema,25-12-2024,maple syrup,dates,chickpeas,07-04-2025,3.43
pakora,18-10-2024,honey,cumin seeds,cardamom,03-08-2025,1.97
gulab jamun,18-09-2024,lemon juice,fenugreek seeds,paneer,31-10-2025,4.29
roti,29-03-2024,basil,cinnamon,lentils,29-04-2025,1.74
vada,17-09-2024,basil,black pepper,almonds,16-03-2025,4.83
vada,20-05-2024,mustard,fennel seeds,mustard oil,26-04-2025,3.83
uttapam,12-04-2024,thyme,banana,milk,09-06-2025,4.31
biriyani,23-05-2024,eggs,ghee,coconut,29-05-2024,1.73
thali,21-02-2024,salt,banana,gram flour,28-05-2025,1.42
samosa,30-07-2024,honey,curry powder,amchur,08-09-2025,3.85
thali,13-05-2024,tomatoes,fennel seeds,bay leaves,13-04-2025,3.36
dal makhani,01-05-2024,nutmeg,guava,chickpeas,22-09-2025,1.02
paratha,30-11-2024,soy sauce,saffron,coriander,08-01-2025,2.37
lassi,05-06-2024,parsley,tomato,green gram,01-07-2025,0.74
kathi roll,22-10-2024,rosemary,curry powder,garlic,27-07-2025,4.44
lassi,10-11-2024,ginger,pineapple,cumin,20-12-2025,1.22
puri,13-05-2024,vinegar,onion,honey,04-04-2025,3.32
kheer,22-09-2024,vanilla extract,bay leaf,coconut,19-01-2025,1.82
paratha,14-11-2024,mustard,mint leaves,jaggery,03-05-2025,4.48
naan,07-09-2024,soy sauce,pistachios,beans,19-02-2025,3.35
dosa,26-08-2024,vanilla extract,fenugreek seeds,tomato,20-03-2025,3.5
korma,21-10-2024,spinach,lentils,turmeric,29-08-2025,0.43
dal makhani,13-08-2024,flour,green chili,curry leaves,22-02-2025,3.77
pav bhaji,20-06-2024,vinegar,tamarind,garlic,07-12-2025,1.07
butter chicken,09-04-2024,vanilla extract,ghee,green gram,10-05-2025,2.98
pav bhaji,29-08-2024,soy sauce,coconut,gram flour,12-08-2025,2.01
kheema,19-05-2024,eggs,mustard seeds,mustard oil,09-11-2025,0.78
rasgulla,04-10-2024,rice,paprika,rice flour,20-02-2025,1.8
dal makhani,28-02-2024,lettuce,jaggery,fenugreek,20-08-2025,1.27
butter chicken,16-06-2024,ginger,curry leaves,raisins,20-03-2025,2.37
palak paneer,24-02-2024,potatoes,cashews,beans,05-03-2025,0.85
tandoori chicken,13-12-2024,turmeric,guava,cardamom,16-03-2025,2.04
chaat,17-06-2024,brown sugar,coriander powder,poppy seeds,09-09-2025,2.75
puri,15-01-2024,curry powder,cardamom,nutmeg,15-08-2025,2.75
palak paneer,08-06-2024,nutmeg,poppy seeds,cilantro,01-03-2025,2.84
gulab jamun,20-07-2024,nutmeg,pomegranate,curry leaves,04-05-2025,0.12
pulao,31-07-2024,maple syrup,pistachios,coconut oil,15-09-2025,1.21
samosa,29-09-2024,lemon juice,fennel seeds,honey,30-11-2024,0.55
rabri,20-11-2024,honey,paprika,milk,16-05-2025,3.12
rasgulla,22-07-2024,eggs,turmeric powder,sesame oil,07-06-2025,2.11
pav bhaji,12-09-2024,honey,garlic,yogurt,06-11-2025,1.41
tandoori chicken,10-11-2024,pepper,ginger,garlic,01-07-2025,3.94
paratha,05-10-2024,basil,lentils,nutmeg,06-05-2025,0.39
roti,07-09-2024,salt,cloves,tomato,30-04-2025,4.9
paneer tikka,08-08-2024,oregano,curry leaves,gram flour,16-03-2025,4.6
masala dosa,28-11-2024,pepper,apricots,lentils,15-04-2025,3.67
lassi,11-12-2024,olive oil,green chili,garlic,05-04-2025,4.26
biriyani,30-04-2024,brown sugar,mint leaves,coconut,14-07-2025,2.66
bhaji,19-03-2024,honey,turmeric powder,nutmeg,06-08-2025,2.48
kheema,30-04-2024,carrots,lentils,almonds,14-10-2025,2.33
rabri,30-05-2024,salt,cinnamon,clarified butter,11-06-2025,1.71
dosa,27-05-2024,tomatoes,garlic,mustard seeds,29-05-2025,3.07
jalebi,12-03-2024,turmeric,coconut milk,cardamom,04-07-2025,0.11
chicken curry,04-06-2024,turmeric,turmeric powder,mint,01-12-2025,3.11
kheema,22-11-2024,turmeric,mustard seeds,mint,25-08-2025,2.21
dosa,03-01-2024,cayenne pepper,turmeric powder,garlic,26-12-2025,4.69
paratha,24-06-2024,brown sugar,dates,green chili,02-10-2025,4.82
thali,07-09-2024,honey,garlic,raisins,12-05-2025,1.44
gulab jamun,24-06-2024,cumin,basmati rice,black salt,13-01-2025,1.44
roti,16-01-2024,mayonnaise,guava,ginger,24-02-2025,3.57
kheer,13-04-2024,cumin,garlic,coriander,12-04-2025,4.02
masala dosa,15-05-2024,maple syrup,cloves,jaggery,02-03-2025,3.72
roti,17-10-2024,lime juice,apricots,pistachios,22-10-2025,1.5
uttapam,23-10-2024,rosemary,cardamom,milk,04-04-2025,4.67
tandoori chicken,15-06-2024,soy sauce,red chili powder,lentils,19-12-2025,3.77
biriyani,07-01-2024,ketchup,dates,tamarind,29-05-2025,1.87
upma,06-11-2024,carrots,cumin seeds,jaggery,25-06-2025,1.07
pulao,16-02-2024,cheese,coconut,black gram,02-05-2025,3.11
palak paneer,17-07-2024,chicken,chickpeas,cilantro,25-03-2025,4.9
kachori,02-03-2024,maple syrup,fenugreek seeds,fennel seeds,28-10-2025,2.94
jalebi,07-04-2024,coriander,pistachios,garlic,16-07-2025,3.91
roti,16-06-2024,paprika,curry leaves,sugar,19-09-2025,0.7
tandoori chicken,28-04-2024,eggs,mango,jaggery,03-07-2025,4.55
jalebi,05-05-2024,carrots,cinnamon,coconut,03-06-2025,4.3
bhaji,26-02-2024,onions,bay leaf,lentils,22-06-2025,0.96
bhaji,05-06-2024,honey,tamarind,tomato,31-10-2025,3.58
uttapam,02-06-2024,chicken,fennel seeds,sugar,31-08-2025,4.66
idli,26-05-2024,chicken,cinnamon,milk,06-06-2025,4.5
kheema,28-01-2024,chicken,bay leaf,semolina,23-11-2025,0.33
bhaji,27-06-2024,spinach,mango,honey,07-12-2025,0.22
paratha,11-01-2024,lemon juice,apricots,pistachios,06-08-2025,4.74
kulfi,20-09-2024,milk,curry powder,coconut oil,24-03-2025,2.03
pulao,31-05-2024,lettuce,fenugreek seeds,nutmeg,02-03-2025,0.18
kulfi,27-06-2024,spinach,cashews,ghee,27-04-2025,2.38
biriyani,05-07-2024,garlic,coconut milk,paneer,03-01-2025,0.61
kheema,08-03-2024,lemon juice,turmeric powder,chickpeas,17-09-2025,4.51
thali,15-09-2024,sugar,asafoetida,green gram,20-08-2025,0.23
puri,24-10-2024,onions,jaggery,sugar,30-08-2024,2.1
chicken curry,19-08-2024,lemon juice,mustard seeds,milk,01-04-2025,4.48
biryani,18-03-2024,rosemary,asafoetida,olive oil,17-10-2025,0.29
gulab jamun,03-03-2024,flour,mustard seeds,garam flour,07-05-2025,0.51
thali,19-03-2024,olive oil,figs,amchur,06-03-2025,4.66
thali,17-04-2024,chili powder,apricots,olive oil,07-10-2024,3.32
gulab jamun,09-08-2024,cayenne pepper,turmeric powder,ginger,19-08-2025,0.47
naan,29-06-2024,pepper,coconut,asafoetida,29-10-2024,0.77
idli,18-06-2024,rosemary,cardamom,pistachios,09-01-2025,1.62
korma,22-07-2024,ketchup,coconut oil,cream,29-10-2025,3.55
papad,05-09-2024,salt,cashew nuts,cinnamon,10-02-2025,0.83
vada,06-09-2024,flour,cinnamon,milk,29-06-2025,3.36
uttapam,17-03-2024,turmeric,basmati rice,dates,25-07-2024,2.48
jalebi,27-09-2024,vinegar,yogurt,black salt,13-12-2025,1.04
kheer,13-11-2024,butter,ghee,green chili,25-12-2025,0.23
paratha,21-09-2024,vinegar,coconut oil,honey,06-11-2024,3.37
kheema,27-11-2024,lime juice,bay leaf,poppy seeds,19-08-2025,4.76
samosa,01-03-2024,vinegar,cardamom,green chili,29-11-2025,1.69
biryani,28-04-2024,vinegar,tamarind,cashews,01-06-2025,1.62
samosa,27-09-2024,flour,bay leaf,nutmeg,30-08-2025,0.95
pakora,31-01-2024,salt,cardamom,sugar,26-05-2025,2.01
korma,30-06-2024,cayenne pepper,mint leaves,sesame oil,02-03-2025,3.44
pakora,31-10-2024,ginger,cumin seeds,almonds,13-01-2025,2.21
pav bhaji,13-03-2024,basil,fenugreek seeds,sugar,08-05-2025,4.85
kachori,19-04-2024,spinach,ginger,tamarind,06-08-2025,2.32
gulab jamun,16-11-2024,ginger,mango,cumin,21-07-2025,4.05
kachori,12-02-2024,vanilla extract,lentils,coconut,07-04-2025,1.55
paratha,06-10-2024,mustard,pomegranate,fenugreek,11-06-2025,4.17
puri,30-07-2024,brown sugar,cardamom,cumin,08-04-2025,4.05
kheer,25-02-2024,pepper,dates,almonds,13-03-2025,1.14
paneer tikka,16-03-2024,mustard,cashew nuts,almonds,28-12-2025,0.88
korma,11-08-2024,basil,pistachios,raisins,25-10-2025,4.06
kheema,09-06-2024,mayonnaise,saffron,green gram,25-05-2025,1.73
upma,06-10-2024,pepper,pistachios,dates,27-10-2025,0.3
momo,20-09-2024,onions,guava,raisins,13-12-2025,3.11
thali,05-10-2024,honey,lentils,chickpeas,17-04-2025,2.29
korma,18-10-2024,paprika,cinnamon,jaggery,01-12-2025,1.32
papad,12-09-2024,ketchup,cilantro,saffron,12-07-2025,2.16
pav bhaji,26-12-2024,turmeric,pistachios,gram flour,28-10-2025,1.32
puri,18-01-2024,maple syrup,mango,cilantro,27-07-2025,3.15
poha,23-05-2024,turmeric,turmeric powder,coriander,05-05-2025,1.52
gulab jamun,26-10-2024,onions,coconut,saffron,31-01-2025,4.05
kulfi,02-03-2024,milk,bay leaf,gram flour,26-08-2025,1.71
thali,09-09-2024,vinegar,cardamom,semolina,16-10-2025,2.64
papad,25-03-2024,oregano,coconut oil,turmeric,06-05-2025,2.14
jalebi,28-02-2024,nutmeg,almonds,poppy seeds,26-11-2025,2.63
pulao,01-10-2024,ginger,tamarind,tomato,20-08-2025,4.01
papad,24-02-2024,cheese,dates,yogurt,30-09-2025,2.26
kathi roll,18-07-2024,parsley,lentils,tamarind,24-11-2025,4.21
kheema,19-05-2024,chili powder,yogurt,milk,26-03-2025,4.82
thali,09-07-2024,lime juice,cumin seeds,saffron,22-09-2025,1.58
chaat,14-09-2024,mayonnaise,lentils,amchur,23-08-2025,0.07
rabri,25-09-2024,lettuce,mint leaves,beans,11-02-2025,0.29
uttapam,20-12-2024,maple syrup,black pepper,mustard oil,12-09-2024,0.95
chicken curry,04-05-2024,cumin,ginger,bay leaves,20-03-2025,0.71
biriyani,21-11-2024,parsley,dates,cilantro,05-12-2024,4.3
chicken curry,14-03-2024,garlic,sesame seeds,tomato,06-07-2025,3.76
lassi,03-06-2024,carrots,raisins,fennel seeds,07-10-2025,0.37
poha,05-12-2024,pasta,cloves,black pepper,14-09-2025,2.35
momo,01-06-2024,onions,basmati rice,nutmeg,14-09-2025,4.57
biryani,27-10-2024,pepper,curry leaves,onion,10-08-2025,0.07
